document_id,clean_text,sentiment
176,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
177,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
178,marktsne i believ brotherhood men i believ wast brotherhood anyon want practic,Neutral
179,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
180,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
181,allaboveal trayvonmartin still he turn month surround friend famili today,Neutral
182,laurenboebert wasn trump hid bunker peac blacklivesmatt demonstr outsid,Neutral
183,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
184,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
185,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
186,year ago today a devast amp heartbreak event year old trayvon martin murder cold blood vigilant a dad i imagin grief anguish amp anger famili feel we must better trayvonmartin blacklivesmatt blackhistorymonth http co hcfpeasv,Negative
187,south africa gem audac repeat realiti apartheid discrimin http co ifvhksfpo cmscaresu thedpsa healthza tourism gov za qm ir constitut the eff sectioninvestig pac blacklivesmatt icantbreath thedaytheori,Neutral
188,matthewtrehi dpjhodg whi must polit land upon footbal field accomplish noth i support russian aggress today player drape ukrainian flag follow kneel blacklivesmatt none good whatsoev,Positive
189,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
190,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
191,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
192,willjawando i think trayvonmartin murder year ago today perceiv threat i continu,Neutral
193,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
194,richardangwin there separ color peopl white peopl unit state that separ diseas color,Neutral
195,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
196,rgarcia sport trayvon martin murder ten year ago today rip blm blacklivesmatt http co bhzuxjn,Neutral
197,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
198,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
199,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
200,aman tigray deliv life save food respons tigray is concern colour blackliv,Neutral
201,chesaboudin i like citi sf treat mario life w valu the differ death street feb eerili similar circumst stark differ young black man amp life treat w valu sf londonbre blacklivesmatt http co wageyvwdfh,Negative
202,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
203,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
204,rip treyvonmartin blacklivesmatt live matter america http co oszqvjw,Positive
205,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
206,spencerkart http co tbtchon rememb trayvon martin year later for olderbroth elisyelcajiga fan ram,Neutral
207,emilypa ten year ago trayvon martin tragic murder shock countri ignit civil right movement becam blackl,Negative
208,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
209,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
210,review who love back popular demand mental health coach for black peopl amp peopl colour wed book http co vqhvuxil mentalhealthmatt blackmentalhealth bamer blacklivesmatt http co qjfzinzcg,Positive
211,william weshouldcancel antifa blacklivesmatt crimin c cancelcultur mean pretti much canc,Negative
212,emilypa ten year ago trayvon martin tragic murder shock countri ignit civil right movement becam blackl,Negative
213,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
214,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
215,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
216,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
217,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
218,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
219,tlovesorchid year ago rip trayvon we keep fight good fight stop blacklivesmatt trayvonmartin http,Positive
220,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
221,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
222,adex take time reinforc thing blackgymnastsmatt browngirlsdogymnast blacklivesmatt i present the,Neutral
223,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
224,tbayissa the world got ukrain back turn back tigray genocid it saddest fact realiz tig,Neutral
225,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
226,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
227,major american wish taught blackhistori young http co oduekfph civilright socialjustic blm blacklivesmatt blackhistorymonth blackhistorymonth blackhistoryalway http co icmjdqwk,Positive
228,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
229,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
230,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
231,addictcab trayvon martin year old today blacklivesmatt http co pvqfhni,Positive
232,cedrickfrazi amir still u blacklivesmatt http co htjneivo,Neutral
233,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
234,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
235,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
236,myarrs georg floyd three polic offic found guilti charg violat black man civil right face year ja,Positive
237,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
238,soseaemerald but throughout great uncl ask what chang significantli keep suffer trayvon fat,Positive
239,genxisnotwok maddow bitcoin cnn elizabethwarren manchin covid pelosi thesquad nyc aoc foxnew msnbc berniesand bl,Neutral
240,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
241,multijo i never doubt sir blacklivesmatt democraci http co dmwevkx,Neutral
242,addictcab trayvon martin year old today blacklivesmatt http co pvqfhni,Positive
243,addictcab trayvon martin year old today blacklivesmatt,Positive
244,tlovesorchid year ago rip trayvon we keep fight good fight stop blacklivesmatt trayvonmartin http,Positive
245,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
246,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
247,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
248,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
249,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
250,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
251,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
252,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
253,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
254,biafrantweet focusonbiafra it never late speak biafra seek referendum save live blacklivesmatt freebia,Positive
255,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
256,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
257,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
258,aman tigray deliv life save food respons tigray is concern colour blackliv,Neutral
259,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
260,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
261,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
262,abcworldnew davidmuir he would yr old today heartbreak can believ yr sinc trayvonmartin death think sybrinafulton amp famili hoodiesup trayvon justicefortrayvon trayvonfound com blacklivesmatt blackhistorymonth http co voqdtevfmq,Positive
263,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
264,maddow bitcoin cnn elizabethwarren manchin covid pelosi thesquad nyc aoc foxnew msnbc berniesand blacklivesmatt democrat biden the world cancel russia busi russian saveukrain ukrain,Neutral
265,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
266,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
267,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
268,niyiafrika it time african leader develop countri blacklivesmatt,Neutral
269,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
270,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
271,vphiameradi udadisi new dr oba t shaka video broadcast click link the titl today video the black freedom,Negative
272,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
273,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
274,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
275,nadin write black peopl stuck ukrain reportedli subject racism even attempt flee safeti even duri,Negative
276,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
277,i never doubt sir blacklivesmatt democraci http co dmwevkx,Neutral
278,owlsi gingerspag heeeeeey exactli racist say interest blm georgefloyd justic equal blacklivesmatt h,Neutral
279,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
280,revjacquilewi littl emmetttil littl trayvonmartin their blacklivesmatt murder shame still racist nation unti,Neutral
281,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
282,owlsi hellbentvet i feel weird insid hooray blm georgefloyd justic equal blacklivesmatt http co u,Negative
283,trayvon martin year old today blacklivesmatt http co pvqfhni,Positive
284,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
285,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
286,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
287,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
288,veedusm potu scotu gop dnc presssec repmtg foxnew cnn antifa blacklivesmatt isi pontifex copelandnetwork,Neutral
289,year ago rip trayvon we keep fight good fight stop blacklivesmatt trayvonmartin http co gzlftiug http co bqijqizo,Positive
290,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
291,rgarcia sport trayvon martin murder ten year ago today rip blm blacklivesmatt http co bhzuxjn,Neutral
292,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
293,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
294,udadisi new dr oba t shaka video broadcast click link the titl today video the black freedom black power movement give birth purpos black studi s f state u http co rpqlxnotwh blackpodcast blackstrudi blacklivesmatt,Negative
295,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
296,africanarch year ago today unarm trayvon martin shot dead georg zimmerman fuel movement blac,Negative
